economy,cluster,gdp_per_capita,ai_readiness,gdp_growth,arm_relative
CHI,0,69818.1528119104,0.0,3.71500590367266,0
CHL,0,14579.4001071307,0.0,2.64431154871538,0
CHN,1,13121.6769905565,91.6,4.9773565917572,0
CIV,2,2395.67689089222,0.0,6.01953461940062,0
CMR,2,1480.73097431993,0.0,3.52472308052245,0
COD,2,554.244129980766,0.0,6.12675551779212,0
COG,2,1679.58061097707,0.0,2.57966943921721,0
COL,0,6863.59563194342,0.0,1.5983315366523,1
COM,2,1401.88898411553,0.0,3.3381010943571,0
CPV,0,4448.96609078891,0.0,7.24388538990945,0
CRI,0,14866.5823676109,0.0,4.32122429646145,0
CSS,0,18582.6849984925,0.0,13.3129250895082,0
CUB,0,7381.39774048869,0.0,-1.06173273220524,1
CUW,0,18044.7751865648,0.0,5.02690000000014,0
CYM,1,83005.4838305223,25.656968516087456,5.8155918263088,0
CYP,1,32617.216796875,0.0,3.94077381708404,0
CZE,1,20445.432830127,0.0,1.23308611983484,0
DEU,1,44027.7631554469,0.0,-0.495851897260366,0
DJI,0,3290.42482052598,0.0,6.98048467276334,0
DMA,0,9172.71049624795,82.04689789,2.052738472526,0
DNK,1,60772.8624276041,0.0,3.47783593140312,0
DOM,0,9168.45418897141,0.0,4.95352204492849,0
DZA,0,4765.72900168387,0.0,3.69999999907979,0
EAP,1,10128.2890911466,88.1,4.96144388249688,0
EAR,0,3887.67750781635,0.0,3.66894359356229,0
EAS,1,13252.7558734185,88.4,3.79010550023051,0
ECA,0,8634.68709000162,87.5,3.9823947129598,0
ECS,1,25973.9053281236,92.4,1.56624845618092,0
ECU,0,5999.39391066593,0.0,-2.00125476341026,1
EGY,0,4137.60929232898,19.01991732549735,2.3991692678251,0
EMU,1,38254.4232216366,0.0,0.911910157337687,0
ERI,2,751.374899794668,0.0,8.67980010138049,0
ESP,0,29245.2192451729,0.0,3.45525405630191,0
EST,1,20078.1397620993,0.0,-0.0900428648493801,0
ETH,2,883.458588619291,0.0,7.61277447511073,0
EUU,1,34896.3710345936,0.0,1.06455789818651,0
FCS,2,1419.27637949231,38.5,2.00694502217958,0
FIN,1,45254.0358658917,0.0,0.416171964862073,0
FJI,0,5935.20896505673,0.0,3.53085896076352,0
FRA,1,39683.3953489029,0.0,1.19046798275883,0
FRO,0,59257.6449307094,0.0,0.843716851362103,0
FSM,2,2930.27926555574,39.52360153,0.718990177344025,1
GAB,0,6618.98685865885,0.0,3.39403899592401,0
GBR,1,47960.9105761942,0.0,1.1264226705118,0
GEO,0,6808.07398025981,44.74306106567385,9.67979387500691,0
GHA,2,2167.72691406678,0.0,5.59045469593266,0
GIN,2,1045.92207475817,0.0,5.35004659051708,0
GMB,2,758.96588872906,0.0,5.55126069510321,0
GNB,2,793.692157673779,0.0,4.14631137217332,0
GNQ,2,5041.94038551173,0.0,0.907248245986736,1
GRC,1,21494.6856060599,0.0,2.0865743380603,0
GRD,0,10196.0049872434,36.04731579803728,3.96332516398188,0
GRL,0,49929.7755428605,0.0,0.865961986998158,0
GTM,2,4563.09590652717,0.0,3.65186382894819,0
GUM,0,34627.9862781837,0.0,5.09986426216793,0
GUY,0,33034.9576389333,0.0,43.8193108024355,0
HIC,1,41776.3359445333,94.2,1.95000793704469,0
HKG,1,44712.7654725532,0.0,2.50498758466826,0
HND,2,2573.37159995648,0.0,3.55397003296669,0
HPC,2,1015.32013675499,0.0,5.14470675657978,0
HRV,0,17854.2091012685,0.0,3.82688702890739,0
HTI,2,1154.87300909888,0.0,-4.16963395808132,1
HUN,0,16518.6369936397,0.0,0.560117843140432,0
IBD,1,7523.39788740048,82.7,4.3517642428957,0
IBT,0,5826.39109857059,70.3,4.34846625464438,0
IDA,2,1485.87854475786,38.9,4.30577432199132,0
IDB,2,2076.03245502265,44.2,4.05581991807422,0
IDN,0,4367.86266621191,0.0,5.03034469419038,0
IDX,2,1171.26544835908,36.1,4.54306460750766,0
IMN,0,86103.3379308107,0.0,-4.16539345213232,0
IND,2,2396.94999213544,43.61162599231358,6.49476552383821,0
IRL,1,94474.9879707069,0.0,2.59946721553708,0
IRN,0,5834.44296939863,0.0,3.66312056830718,0
IRQ,0,4180.29619477317,0.0,-1.54525198318304,1
ISL,1,59307.1777759714,0.0,-0.970676468918384,0
ISR,1,41845.1660567523,0.0,0.871968424377442,0
ITA,0,34495.2545799636,0.0,0.692676948440536,0
JAM,0,6096.4327030963,0.0,-0.535039063867487,1
JOR,0,4016.83429143296,0.0,2.48889409603647,0
JPN,1,37152.5636003552,0.0,0.104309021773304,0
KAZ,1,11872.7842626298,26.4306430203071,4.99999999996936,0
KEN,2,1860.02287047776,0.0,4.72473994710138,0
KGZ,0,1391.68404329929,26.93808737813065,9.04013556120012,0
KHM,2,2182.71843902341,0.0,5.97510939607335,0
KIR,0,2041.87601786956,45.96036994567597,5.26689747917099,0
KNA,1,21692.2406392872,76.88400269,0.312226855858171,0
KOR,1,37048.4264001496,0.0,2.00361101838986,0
KWT,0,23867.826500295,100.0,-2.56011099967517,0
LAC,0,8638.66600811342,83.6,1.97324501012739,1
LAO,2,2721.07810663082,0.0,4.13019264436937,0
LBN,0,5834.63415739394,40.75138826032226,-0.760584470257314,1
LBR,2,665.101337624192,0.0,4.02185464964835,0
LBY,0,7696.0807819319,0.0,1.89995052025442,1
